"CHEMBL229477"
"CHEMBL389902"
"CHEMBL229620"
"CHEMBL388570"
"CHEMBL229476"
"CHEMBL389390"
"CHEMBL389629"
"CHEMBL387825"
"CHEMBL229388"
"CHEMBL229390"
"CHEMBL229401"
"CHEMBL388177"
"CHEMBL229614"
"CHEMBL389519"
"CHEMBL228996"
"CHEMBL228417"
"CHEMBL228992"
"CHEMBL228998"
"CHEMBL229615"
"CHEMBL389734"
"CHEMBL425658"
"CHEMBL229616"
"CHEMBL229391"
"CHEMBL229443"
"CHEMBL229442"
"CHEMBL229400"
